Profil;Nombre de cadrans;Categorie;Sous-profil;Libelle
ENT6-SUD;6;Entreprise;ENT6-SUD_PM;"Entreprise6 Haute Tension avec Période Mobile (07h-01h) ""Zone Sud"" - Cadran Pointe Mobile"
ENT6-SUD;6;Entreprise;ENT6-SUD_HH;"Entreprise6 Haute Tension avec Période Mobile (07h-01h) ""Zone Sud"" - Cadran Heures Hiver"
ENT6-SUD;6;Entreprise;ENT6-SUD_HD;"Entreprise6 Haute Tension avec Période Mobile (07h-01h) ""Zone Sud"" - Cadran Heures Demi-Saison"
ENT6-SUD;6;Entreprise;ENT6-SUD_HPE;"Entreprise6 Haute Tension avec Période Mobile (07h-01h) ""Zone Sud"" - Cadran Heures Pleines Eté"
ENT6-SUD;6;Entreprise;ENT6-SUD_HCE;"Entreprise6 Haute Tension avec Période Mobile (07h-01h) ""Zone Sud"" - Cadran Heures Creuses Eté"
ENT6-SUD;6;Entreprise;ENT6-SUD_JA;Entreprise6 Haute Tension avec Période Mobile - Cadran Juillet-Août
ENT7;5;Entreprise;ENT7_PM;Entreprise7 Haute Tension avec Période Mobile [ 07h-01h ] U [ 18h-20h ] - Cadran Pointe Mobile
ENT7;5;Entreprise;ENT7_HPSH;Entreprise7 Haute Tension avec Période Mobile [ 07h-01h ] U [ 18h-20h ] - Cadran Heures Pleines Saison Haute
ENT7;5;Entreprise;ENT7_HCSH;Entreprise7 Haute Tension avec Période Mobile [ 07h-01h ] U [ 18h-20h ] - Cadran Heures Creuses Saison Haute
ENT7;5;Entreprise;ENT7_HPSB;Entreprise7 Haute Tension avec Période Mobile [ 07h-01h ] U [ 18h-20h ] - Cadran Heures Pleines Saison Basse
ENT7;5;Entreprise;ENT7_HCSB;Entreprise7 Haute Tension avec Période Mobile [ 07h-01h ] U [ 18h-20h ] - Cadran Heures Creuses Saison Basse
PRD1;1;Producteur;PRD1_BASE;Producteur de type hydraulique
PRD2;1;Producteur;PRD2_BASE;Producteur de type cogénération
PRD3;1;Producteur;PRD3_BASE;Producteur de type photovoltaïque
PRD4;1;Producteur;PRD4_BASE;Producteur de type autre (hors hydraulique, cogénération, photovoltaïque)
